billede,gruppe,flyt_px,baand,note,dom
273106_001345,ekstra_uden_facit,8,24,,ok
273107_000971,ekstra_uden_facit,5,23,,ok
273098_001472,proeve_LAAST,8,24,,ok
273098_001473,proeve_LAAST,11,23,,ok
273098_001474,proeve_LAAST,37,20,,ok
273099_001360,proeve_LAAST,10,24,,ok
273099_001361,proeve_LAAST,88,14,,ok
273099_001362,proeve_LAAST,135,17,,ok
273099_001363,proeve_LAAST,14,23,,ok
273099_001364,proeve_LAAST,7,23,,ok
273099_001365,proeve_LAAST,20,23,,ok
273099_001366,proeve_LAAST,7,24,,ok
273100_001278,proeve_LAAST,29,23,,ok
273100_001279,proeve_LAAST,24,23,,ok
273100_001280,proeve_LAAST,10,22,,ok
273100_001281,proeve_LAAST,19,22,,ok
273100_001282,proeve_LAAST,16,22,,ok
273100_001283,proeve_LAAST,23,23,,ok
273100_001284,proeve_LAAST,15,22,,ok
273101_001099,proeve_LAAST,23,23,,ok
273101_001100,proeve_LAAST,44,20,,ok
273101_001101,proeve_LAAST,55,20,,ok
273101_001102,proeve_LAAST,11,23,,ok
273101_001103,proeve_LAAST,15,22,,ok
273101_001104,proeve_LAAST,11,22,,ok
273101_001105,proeve_LAAST,103,17,,ok
273101_001106,proeve_LAAST,37,23,,ok
273101_001107,proeve_LAAST,2,24,,ok
273101_001108,proeve_LAAST,14,23,,ok
273101_001109,proeve_LAAST,71,14,,ok
273102_001072,proeve_LAAST,14,23,,ok
273102_001073,proeve_LAAST,2,24,,ok
273102_001074,proeve_LAAST,19,20,,ok
273104_001559,proeve_LAAST,5,24,,ok
273104_001560,proeve_LAAST,8,23,,ok
273104_001561,proeve_LAAST,8,21,,ok
273104_001562,proeve_LAAST,11,24,,ok
273104_001563,proeve_LAAST,80,14,,ok
273104_001564,proeve_LAAST,9,24,,ok
273104_001565,proeve_LAAST,26,23,,ok
273104_001649,proeve_LAAST,65,15,,ok
273104_001650,proeve_LAAST,12,24,,ok
273104_001651,proeve_LAAST,30,21,,ok
273105_001628,proeve_LAAST,11,23,,ok
273105_001629,proeve_LAAST,25,19,,ok
273105_001630,proeve_LAAST,8,22,,ok
273105_001631,proeve_LAAST,49,17,,ok
273105_001632,proeve_LAAST,10,23,,ok
273105_001633,proeve_LAAST,57,19,,ok
273105_001634,proeve_LAAST,10,24,,ok
273106_001617,proeve_LAAST,13,24,,ok
273106_001618,proeve_LAAST,11,22,,ok
273106_001619,proeve_LAAST,129,16,,ok
273106_001620,proeve_LAAST,8,21,,ok
273106_001621,proeve_LAAST,7,20,,ok
273106_001622,proeve_LAAST,12,24,,ok
273106_001623,proeve_LAAST,15,23,,ok
273107_001883,proeve_LAAST,18,22,,ok
273107_001884,proeve_LAAST,1,21,,ok
273107_001885,proeve_LAAST,19,23,,ok
273107_001886,proeve_LAAST,7,21,,ok
273107_001887,proeve_LAAST,23,24,,ok
273107_001888,proeve_LAAST,14,23,,ok
273107_001889,proeve_LAAST,12,22,,ok
273108_001597,proeve_LAAST,6,23,,ok
273108_001598,proeve_LAAST,11,24,,ok
273108_001599,proeve_LAAST,120,15,,ok
273108_001600,proeve_LAAST,6,24,,ok
273108_001601,proeve_LAAST,10,24,,ok
273108_001602,proeve_LAAST,5,24,,ok
273108_001603,proeve_LAAST,49,24,,nabo_let
273108_001604,proeve_LAAST,5,24,,ok
273108_001605,proeve_LAAST,6,23,,ok
273108_001606,proeve_LAAST,6,23,,ok
273108_001607,proeve_LAAST,147,14,,ok
273108_001608,proeve_LAAST,13,24,,ok
273111_001366,proeve_LAAST,60,17,,ok
273111_001367,proeve_LAAST,7,21,,ok
273111_001368,proeve_LAAST,5,24,,ok
273112_001201,proeve_LAAST,12,21,,ok
273112_001202,proeve_LAAST,2,24,,ok
273112_001203,proeve_LAAST,43,21,,ok
273112_001204,proeve_LAAST,16,24,,ok
273112_001205,proeve_LAAST,6,22,,ok
273112_001206,proeve_LAAST,5,22,,ok
273112_001207,proeve_LAAST,40,23,,ok
273104_001637,selvhentet,20,22,,ok
273104_001638,selvhentet,38,15,,ok
273104_001639,selvhentet,44,17,,ok
273104_001640,selvhentet,125,14,,nabo
273104_001641,selvhentet,12,24,,ok
273104_001642,selvhentet,13,22,,ok
273104_001643,selvhentet,11,23,,ok
273104_001644,selvhentet,7,24,,ok
273104_001645,selvhentet,20,23,,ok
273104_001646,selvhentet,18,24,,ok
