billede,gruppe,flyt_px,inde,ude,note,dom
273106_001618,proeve_LAAST,11,,,for lidt blaek,ok
273106_001619,proeve_LAAST,129,0.774,0.587,,ok
273106_001620,proeve_LAAST,8,0.782,0.496,,ok
273106_001621,proeve_LAAST,7,,,for lidt blaek,ok
273106_001622,proeve_LAAST,12,0.832,0.293,,ok
273106_001623,proeve_LAAST,15,,,for lidt blaek,ok
273107_001883,proeve_LAAST,18,,,for lidt blaek,ok
273107_001884,proeve_LAAST,1,,,for lidt blaek,ok
273107_001885,proeve_LAAST,19,,,for lidt blaek,ok
273107_001886,proeve_LAAST,7,,,for lidt blaek,ok
273107_001887,proeve_LAAST,23,,,for lidt blaek,ok
273107_001888,proeve_LAAST,14,,,for lidt blaek,ok
273107_001889,proeve_LAAST,12,,,for lidt blaek,ok
273108_001597,proeve_LAAST,6,,,for lidt blaek,ok
273108_001598,proeve_LAAST,11,0.638,0.546,,ok
273108_001599,proeve_LAAST,120,0.661,0.712,,ok
273108_001600,proeve_LAAST,6,0.919,0.793,,ok
273108_001601,proeve_LAAST,10,,,for lidt blaek,ok
273108_001602,proeve_LAAST,5,,,for lidt blaek,ok
273108_001603,proeve_LAAST,49,,,for lidt blaek,nabo_let
273108_001604,proeve_LAAST,5,,,for lidt blaek,ok
273108_001605,proeve_LAAST,6,,,for lidt blaek,ok
273108_001606,proeve_LAAST,6,,,for lidt blaek,ok
273108_001607,proeve_LAAST,147,,,for lidt blaek,ok
273108_001608,proeve_LAAST,13,,,for lidt blaek,ok
273111_001366,proeve_LAAST,60,0.366,0.28,,ok
273111_001367,proeve_LAAST,7,0.338,0.528,,ok
273111_001368,proeve_LAAST,5,,,for lidt blaek,ok
273112_001201,proeve_LAAST,12,,,for lidt blaek,ok
273112_001202,proeve_LAAST,2,0.83,0.491,,ok
273112_001203,proeve_LAAST,43,,,for lidt blaek,ok
273112_001204,proeve_LAAST,16,0.414,0.616,,ok
273112_001205,proeve_LAAST,6,,,for lidt blaek,ok
273112_001206,proeve_LAAST,5,,,for lidt blaek,ok
273112_001207,proeve_LAAST,40,,,for lidt blaek,ok
273104_001637,selvhentet,20,,,for lidt blaek,ok
273104_001638,selvhentet,38,0.445,0.679,,ok
273104_001639,selvhentet,44,0.538,0.623,,ok
273104_001640,selvhentet,125,0.558,0.495,,nabo
273104_001641,selvhentet,12,,,for lidt blaek,ok
273104_001642,selvhentet,13,0.778,0.335,,ok
273104_001643,selvhentet,11,0.514,0.638,,ok
273104_001644,selvhentet,7,,,for lidt blaek,ok
273104_001645,selvhentet,20,0.515,0.476,,ok
273104_001646,selvhentet,18,,,for lidt blaek,ok
