sbid;name;year;month;date_from;date_to;digital_version_url
273256;1910, Marts;1910;Marts;1910-03-01;1910-03-31;https://kbharkiv.dk/permalink/kildeviser/unit/273256
273257;1910, April;1910;April;1910-04-01;1910-04-30;https://kbharkiv.dk/permalink/kildeviser/unit/273257
273258;1910, Maj;1910;Maj;1910-05-01;1910-05-31;https://kbharkiv.dk/permalink/kildeviser/unit/273258
273259;1910, Juni;1910;Juni;1910-06-01;1910-06-30;https://kbharkiv.dk/permalink/kildeviser/unit/273259
273260;1910, Juli;1910;Juli;1910-07-01;1910-07-31;https://kbharkiv.dk/permalink/kildeviser/unit/273260
273261;1910, August;1910;August;1910-08-01;1910-08-31;https://kbharkiv.dk/permalink/kildeviser/unit/273261
273262;1910, September;1910;September;1910-09-01;1910-09-30;https://kbharkiv.dk/permalink/kildeviser/unit/273262
273263;1910, Oktober;1910;Oktober;1910-10-01;1910-10-31;https://kbharkiv.dk/permalink/kildeviser/unit/273263
273264;1910, November;1910;November;1910-11-01;1910-11-30;https://kbharkiv.dk/permalink/kildeviser/unit/273264
273265;1910, December;1910;December;1910-12-01;1910-12-31;https://kbharkiv.dk/permalink/kildeviser/unit/273265
